id,timestamp,plate,vehicle_type,violation_type,sign_detected,image_path,location,confirmed
57,2026-05-22 12:35:51,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123551_581_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
56,2026-05-22 12:35:43,470.82,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123543_772_470.82.jpg,Camera Nguyễn Văn Linh,0
55,2026-05-22 12:35:41,NN3ETU-B2,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123541_587_NN3ETU-B2.jpg,Camera Nguyễn Văn Linh,0
54,2026-05-22 12:35:29,CHUA_RO,xe buýt,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123529_440_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
53,2026-05-22 12:35:28,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123528_247_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
51,2026-05-22 12:35:24,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123524_210_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
52,2026-05-22 12:35:24,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123524_899_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
50,2026-05-22 12:35:21,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123521_807_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
49,2026-05-22 12:34:59,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123459_903_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
48,2026-05-22 12:34:57,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123457_243_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
47,2026-05-22 12:34:50,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123450_341_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
46,2026-05-22 12:34:10,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123410_162_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
45,2026-05-22 12:34:01,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123401_400_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
44,2026-05-22 12:34:00,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123400_631_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
43,2026-05-22 12:33:18,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123318_442_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
42,2026-05-22 12:33:14,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123314_796_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
41,2026-05-22 12:32:48,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123248_518_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
40,2026-05-22 12:32:45,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123245_276_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
39,2026-05-22 12:32:29,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123229_285_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
38,2026-05-22 12:32:28,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123228_554_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
37,2026-05-22 12:31:34,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123134_675_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
36,2026-05-22 12:31:31,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123131_091_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
35,2026-05-22 12:31:30,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123130_449_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
34,2026-05-22 12:30:26,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123026_706_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
33,2026-05-22 12:30:24,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_123024_012_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
31,2026-05-22 12:22:51,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122251_772_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
30,2026-05-22 12:22:49,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122249_038_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
29,2026-05-22 12:22:45,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122245_520_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
28,2026-05-22 12:22:35,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122235_173_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
27,2026-05-22 12:22:34,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122234_558_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
26,2026-05-22 12:22:31,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122231_570_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
25,2026-05-22 12:22:29,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122229_295_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
24,2026-05-22 12:22:26,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_122226_033_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
23,2026-05-22 12:14:34,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_121434_172_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
22,2026-05-22 12:14:30,CHUA_RO,ô tô,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_121430_358_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
11,2026-05-22 12:10:42,CHUA_RO,xe buýt,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_121042_118_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
12,2026-05-22 12:10:42,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_121042_888_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
10,2026-05-22 11:45:27,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114527_186_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
9,2026-05-22 11:45:18,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114518_829_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
8,2026-05-22 11:45:14,CHUA_RO,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114514_702_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
7,2026-05-22 11:44:00,CHUA_RO,xe máy,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114400_520_CHUA_RO.jpg,,0
6,2026-05-22 11:43:41,07216,xe tải,Vuot den do,Den do,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114341_233_07216.jpg,,0
5,2026-05-22 11:40:41,CHUA_RO,xe buýt,Duong cam o to,cam_o_to,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_114041_166_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
4,2026-05-22 11:33:25,CHUA_RO,xe buýt,Duong cam o to,cam_o_to,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_113325_582_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
3,2026-05-22 11:30:34,CHUA_RO,xe buýt,Duong cam o to,cam_o_to,E:\HK2-2025-2026\Học Sâu\traffic_system\violations_images\20260522_113034_322_CHUA_RO.jpg,Camera Nguyễn Văn Linh,0
